time,N,E,heading
347.686439037323,154.17773688115017,128.1914551373862,11.0
348.6162819862366,155.47667559218405,128.40104790748208,10.9
350.4262011051178,158.0745536736536,128.9250464652347,10.8
351.3770260810852,159.37349241052635,129.1346388263835,10.7
353.1864221096039,162.15693482149638,129.6586329717674,10.5
354.11789107322693,163.45587616381508,129.86822694973336,10.4
355.92902302742004,166.23931507088577,130.18259175691875,10.3
356.8761212825775,167.5382596825993,130.49700058161483,10.2
358.68773198127747,170.3216992775354,130.91617778381857,10.1
359.6160910129547,171.80619999469377,131.12576339539171,10.1
361.42620396614075,174.5896424049964,131.54494184403785,10.0
362.38621282577515,176.07414318575277,131.75452703970652,10.0
364.1862061023712,178.85758260826137,132.0688897777334,9.9
365.11656188964844,180.34208627523935,132.27847666256343,9.9
366.9465889930725,183.1255262222639,132.69765151679667,9.8
367.91641187667847,184.61003321402728,133.01205277589114,9.8
369.66634821891785,187.57903217167507,133.43121899525912,9.8
370.6712191104889,189.06353608136308,133.64080502168932,9.8
371.4864809513092,190.73359888375057,133.85038312443487,9.8
372.41635298728943,192.21810289348926,134.0599688662077,9.8
373.4065601825714,193.70260696411205,134.2695544725882,9.8
374.246474981308,195.37267292330108,134.47913422149276,9.7
375.1765720844269,196.85717711653817,134.68871954620846,9.7
376.15640807151794,198.52724009264506,134.89829688611908,9.7
377.0064070224762,200.1973094694419,135.21269059328444,9.7
377.93627405166626,201.681810668487,135.4222733359031,9.7
379.7663700580597,205.02194326190005,135.94624326105563,9.8
380.69631600379944,206.69200637124544,136.1558197339788,9.7
382.5062880516052,210.21769446212684,136.67977842479124,9.7
383.4561810493469,211.88776088456106,136.99416849685704,9.7
385.2670621871948,215.41345234527608,137.5181280157107,9.7
386.19624614715576,217.2690806787923,137.8325115285723,9.8
388.0067081451416,220.79477213233582,138.4612814765635,9.9
388.95744585990906,222.83595886850648,138.7756561211097,9.9
390.76647305488586,226.3616573855915,139.40442883086712,10.0
391.69619607925415,228.4028441180243,139.7188026181533,10.1
393.5266592502594,232.1140974526138,140.34756341657095,10.2
394.46646308898926,233.96972594962256,140.66194450703077,10.3
396.27663803100586,237.8665374109945,141.29069545486828,10.4
397.2064940929413,239.72216593583389,141.6050757195426,10.4
399.016371011734,243.61898108043016,142.23382717111312,10.6
399.9470200538635,245.66016763954235,142.54819832114433,10.6
401.77650809288025,249.55698274099905,143.17694803953842,10.7
402.70675683021545,251.59817317227862,143.49132054018716,10.7
404.5162880420685,255.49499283854192,144.01525996983685,10.8
405.50626516342163,257.53617991274643,144.22481862996514,10.8
407.2563500404358,261.61856106801963,144.85356121550862,10.9
408.24624395370483,263.65975582170444,145.16793433755774,10.9
409.0762209892273,265.8865083410036,145.4822987106328,10.9
409.9862952232361,267.9277025560473,145.9014817417389,10.9
410.99633407592773,269.9688890719901,146.21584936541865,10.9
411.82610416412354,272.0100840799132,146.53022126949548,11.0
412.7564260959625,274.2368359550722,146.9493946716057,11.0
413.74639916419983,276.278034635495,147.36857851196987,11.0
414.5764560699463,278.5047873522914,147.68294085207367,11.0
415.5262768268585,280.54598181878765,148.1021216402587,11.1
416.5062310695648,282.58717632830917,148.52130203631404,11.2
417.3361179828644,284.6283628477968,148.8356673359456,11.2
418.2664442062378,286.85511566321793,149.15002831990395,11.2
420.0964481830597,291.12306674830444,149.98838013197286,11.3
421.0261290073395,293.34981506993824,150.30273770818297,11.3
422.8562910556793,297.8033281903242,151.14108070065402,11.4
423.7862641811371,300.0300905871893,151.45544429109344,11.5
425.59616804122925,304.6691611844685,152.29377598788616,11.57577694146607
426.5463399887085,306.8959227928848,152.71294798915574,11.6
428.3563139438629,311.34943291719037,153.44647420930391,11.8
429.28638219833374,313.57618988304125,153.86564259729005,11.8
431.0962870121002,318.21527079881855,154.70397392845888,12.0
432.0468192100525,320.62759110122124,155.0183253352805,12.1
433.85633993148804,325.26665859958155,155.75183785177947,12.3
434.7862238883972,327.678977724252,156.17099708830034,12.3
436.5963599681854,332.5036071386125,156.9045004884359,12.5
437.58664107322693,334.9159211115578,157.32365592408786,12.6
439.3361439704895,339.7405596313082,158.16197031300916,12.7
440.32646203041077,342.1528789636476,158.58112681189095,12.7
441.1563889980316,344.7507547975443,159.00027359576615,12.7
442.0864510536194,347.1630703598919,159.31461827292674,12.8
443.07694602012634,349.57539527294074,159.7337759126652,12.8
